"Memorable","Memorable_1","Repetition","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_instruction_2_sketchpad","correct_instructions_sketchpad","correct_keypress_practice_sketchpad","correct_new_1_sketchpad","correct_new_3_keyboard_response","correct_trial_keyboard_response","correct_trigger_scanner_keyboard_response","count_ISI_sketchpad","count_Sample_interval_sketchpad","count_baseline_block_sketchpad","count_block1_loop","count_block2_loop","count_block3_loop","count_block4_loop","count_block5_loop","count_end_of_practice_sketchpad","count_end_sketchpad","count_experiment","count_filler_quick_response_sketchpad","count_fixation_sketchpad","count_instruction_2_sketchpad","count_instructions_sketchpad","count_keypress_practice_sketchpad","count_new_1_sketchpad","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_sketchpad","count_new_5_sketchpad","count_new_7_sketchpad","count_new_8_sketchpad","count_new_logger","count_practice_2_loop","count_practice_sequence","count_response_sketchpad","count_trial_keyboard_response","count_trial_sequence","count_trigger_scanner_keyboard_response","count_waiting_scanner_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","interval","keyboard_backend","live_row","live_row_block1_loop","live_row_practice_2_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","probe","repeat_cycle","response","response_instruction_2_sketchpad","response_instructions_sketchpad","response_keypress_practice_sketchpad","response_new_1_sketchpad","response_new_3_keyboard_response","response_new_5_sketchpad","response_time","response_time_instruction_2_sketchpad","response_time_instructions_sketchpad","response_time_keypress_practice_sketchpad","response_time_new_1_sketchpad","response_time_new_3_keyboard_response","response_time_new_5_sketchpad","response_time_trial_keyboard_response","response_time_trigger_scanner_keyboard_response","response_trial_keyboard_response","response_trigger_scanner_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_ISI_sketchpad","time_Sample_interval_sketchpad","time_baseline_block_sketchpad","time_block1_loop","time_block2_loop","time_block3_loop","time_block4_loop","time_block5_loop","time_end_of_practice_sketchpad","time_end_sketchpad","time_experiment","time_filler_quick_response_sketchpad","time_fixation_sketchpad","time_instruction_2_sketchpad","time_instructions_sketchpad","time_keypress_practice_sketchpad","time_new_1_sketchpad","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_sketchpad","time_new_5_sketchpad","time_new_7_sketchpad","time_new_8_sketchpad","time_new_logger","time_practice_2_loop","time_practice_sequence","time_response_sketchpad","time_trial_keyboard_response","time_trial_sequence","time_trigger_scanner_keyboard_response","time_waiting_scanner_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","NA","1","undefined","undefined","1937.5577916689508","1937.5577916689508","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","NA","9","9","3","0","9","0","0","0","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Nathan Kiger_3_oval.jpg","600","psycho","0","0","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Nathan Kiger_3_oval.jpg","0","1","1","1","1","1","1","NA","39.08170000067912","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","39.08170000067912","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","160561.92769999325","159951.33440000063","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","161073.18349998968","158909.10779999103","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","161422.7574999968","100692.02109999605","130357.17179998755","161383.27130000107","161383.34049998957","158898.10120000038","141639.85909998883","141639.8046999966","Face Interval Estimation","0","23250.69350002741","12","no","680"
"1","NA","0","undefined","undefined","1871.420346155691","1871.420346155691","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","1","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","9","9","9","9","NA","9","9","4","0","9","1","1","1","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Jonathan Marek_13_oval.jpg","1200","psycho","1","1","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Louis Somerville_13_oval.jpg","0","1","1","1","1","1","1","NA","1077.7709999965737","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","1077.7709999965737","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","163708.5153999942","162497.39569998928","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","164220.05059999356","161488.3337999927","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","165607.85779998696","100692.02109999605","130357.17179998755","164529.55959999235","164529.6309999976","161474.8292999866","141639.85909998883","141639.8046999966","Face Interval Estimation","0","24328.464500023983","13","no","680"
"1","NA","1","undefined","undefined","1790.6682785729313","1790.6682785729313","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","2","5","0","0","0","0","0","0","0","0","2","2","0","0","0","0","9","9","9","9","NA","9","9","5","0","9","2","2","2","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Gregory Moreira_17_oval.jpg","1200","psycho","2","2","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Gregory Moreira_17_oval.jpg","0","1","1","1","1","1","1","NA","740.8913999970537","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","740.8913999970537","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","167892.63609999034","166679.7932999907","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","168403.15800000099","165670.5954999925","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","169454.80899998802","100692.02109999605","130357.17179998755","168713.50889999303","168713.57349999016","165658.11299999768","141639.85909998883","141639.8046999966","Face Interval Estimation","0","25069.355900021037","14","no","680"
"1","NA","1","undefined","undefined","1694.4416266681703","1694.4416266681703","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","5","0","0","0","0","0","0","0","0","3","3","0","0","0","0","9","9","9","9","NA","9","9","6","0","9","3","3","3","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Inez Hofer_5_oval.jpg","1000","psycho","3","3","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Inez Hofer_5_oval.jpg","0","1","1","1","1","1","1","NA","347.268500001519","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","347.268500001519","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","171537.55249999813","170525.03399999114","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","172048.57600000105","169516.01149998896","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","172705.74819999456","100692.02109999605","130357.17179998755","172358.08249999536","172358.14939999545","169503.112099992","141639.85909998883","141639.8046999966","Face Interval Estimation","0","25416.624400022556","15","no","680"
"0","NA","0","undefined","undefined","1614.171318751687","1614.171318751687","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","4","5","0","0","0","0","0","0","0","0","4","4","0","0","0","0","9","9","9","9","NA","9","9","7","0","9","4","4","4","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Fred Berube_15_oval.jpg","800","psycho","4","4","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kristin Skelly_3_oval.jpg","0","1","1","1","1","1","1","NA","410.116700004437","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","410.116700004437","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","174587.42489998986","173775.0529999903","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","175100.77289999754","172766.21769998746","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","175820.7182999904","100692.02109999605","130357.17179998755","175410.21159999946","175410.2794999926","172752.7751999878","141639.85909998883","141639.8046999966","Face Interval Estimation","0","25826.741100026993","16","no","680"
"1","NA","0","undefined","undefined","1524.889888237607","1524.889888237607","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","5","5","0","0","0","0","0","0","0","0","5","5","0","0","0","0","9","9","9","9","NA","9","9","8","0","9","5","5","5","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Brian_Friedrich_19_oval.jpg","800","psycho","5","5","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Frank Luke_9_oval.jpg","0","1","1","1","1","1","1","NA","96.38700001232792","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","96.38700001232792","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","177703.9633999957","176890.16559999436","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","178212.86289999261","175881.1840999988","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","178619.73819999548","100692.02109999605","130357.17179998755","178522.93059999647","178523.00599998853","175868.66839999857","141639.85909998883","141639.8046999966","Face Interval Estimation","0","25923.12810003932","17","no","680"
"0","NA","1","undefined","undefined","1470.8006888912578","1470.8006888912578","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","6","5","0","0","0","0","0","0","0","0","6","6","0","0","0","0","9","9","9","9","NA","9","9","9","0","9","6","6","6","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Michael Turcotte_13_oval.jpg","600","psycho","6","6","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Michael Turcotte_13_oval.jpg","0","1","1","1","1","1","1","NA","551.2843000033172","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","551.2843000033172","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","180317.86539999302","179705.25929999712","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","180827.59599998826","178693.84549999086","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","181690.8398999949","100692.02109999605","130357.17179998755","181139.04249999905","181139.11299999745","178683.1538999977","141639.85909998883","141639.8046999966","Face Interval Estimation","0","26474.41240004264","18","no","680"
"0","NA","1","undefined","undefined","1431.5646263184087","1431.5646263184087","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","5","0","0","0","0","0","0","0","0","7","7","0","0","0","0","9","9","9","9","NA","9","9","10","0","9","7","7","7","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Paul Sun_9_oval.jpg","1200","psycho","7","7","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Paul Sun_9_oval.jpg","0","1","1","1","1","1","1","NA","725.3155000071274","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","725.3155000071274","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","183973.86509999342","182762.64969998738","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","184484.52230000112","181753.91169999784","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","185519.77590000024","100692.02109999605","130357.17179998755","184794.00270000042","184794.07429999264","181739.83909998788","141639.85909998883","141639.8046999966","Face Interval Estimation","0","27199.727900049766","19","no","680"
"0","NA","1","undefined","undefined","1395.0052550026157","1395.0052550026157","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","8","5","0","0","0","0","0","0","0","0","8","8","0","0","0","0","9","9","9","9","NA","9","9","11","0","9","8","8","8","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Kara Tsang_15_oval.jpg","1200","psycho","8","8","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kara Tsang_15_oval.jpg","0","1","1","1","1","1","1","NA","700.3772000025492","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","700.3772000025492","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","187803.65449999226","186593.40129999327","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","188313.31839998893","185582.33809999365","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","189325.65729999624","100692.02109999605","130357.17179998755","188624.88649999432","188624.9562999874","185570.0516999932","141639.85909998883","141639.8046999966","Face Interval Estimation","0","27900.105100052315","20","no","680"
"0","NA","0","undefined","undefined","1353.3383714308175","1353.3383714308175","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","9","5","0","0","0","0","0","0","0","0","9","9","0","0","0","0","9","9","9","9","NA","9","9","12","0","9","9","9","9","3","0","Wed Jan 10 16:16:29 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Larry Perryman_5_oval.jpg","800","psycho","9","9","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3039.csv","psycho","Lentiform Loewenfeld","3.3.12","Allison_Samson_13_oval.jpg","0","1","1","1","1","1","1","NA","520.0006999948528","21182.913600001484","71543.34409999137","7988.05880000873","4804.01520000305","74.27769999776501","NA","520.0006999948528","17207.563800009666","1","5","2","psycho","1024","2","48000","-16","experiment","3039","odd","191207.49519999663","190397.2425999964","NA","158847.76679999777","NA","NA","NA","NA","132627.91209999705","NA","3127.131699991878","191718.17909998936","189386.1237999954","74691.56929999008","3134.2053999978816","133639.3926999881","95887.44989999395","130368.59829998866","132542.18019999098","131377.75580000016","131788.99979998823","NA","132301.11639999086","132541.9586999924","192548.73829999997","100692.02109999605","130357.17179998755","192028.27640000032","192028.35219999542","189373.9615999948","141639.85909998883","141639.8046999966","Face Interval Estimation","0","28420.105800047168","21","no","680"
