onset	duration	parametric modulation
161488.333799993	4118.99679999624	1
175881.184099999	2738.13350001001	1
218621.908799993	3723.36709999945	1
222406.53539999	3843.73449999839	1
226328.227899998	3553.03860000276	1
233510.90909999	3732.33069998969	1
245044.563699994	3731.623700005	1
265654.330299993	2521.87620000041	1
292879.000099987	2713.16970000044	1
312026.145899988	3469.97940001893	1
325866.684399996	2637.44429999497	1
342419.960499989	3580.14520001598	1
357834.832399996	3980.16609999468	1
361879.265099997	3539.79979998257	1
442519.985299994	3297.00050000974	1
451906.846400001	3264.07109999855	1
465358.041799991	3349.88390000944	1
476061.679699997	2983.2441000035	1
500622.853599998	3664.06900000584	1
523958.896699987	3606.97010000877	1
537327.68419999	3228.18059999554	1
560135.884899995	3062.94030000572	1
569980.124199996	2932.641899999	1
594577.717099994	3463.08050000516	1
598102.026699999	3899.76029998797	1
602063.146099987	3269.61500001198	1
618651.317999989	2728.44039999472	1
621438.715599987	2995.03380000533	1
627708.235099999	3109.50829999638	1
636635.306600001	3158.42669999984	1
639854.490499987	4000.23530001636	1
643916.860400001	2970.80459998688	1
708611.387599987	3244.29030000465	1
715480.746599991	2862.89360000228	1
721717.478399994	3326.09930000035	1
753908.067199998	3835.51739998802	1
757806.766499998	2838.81470000779	1
767618.952999997	3430.61179999495	1
800114.249899998	3887.25329999579	1
804062.938599993	2954.5260000159	1
