onset	duration	parametric modulation
178693.845499991	2996.48130001151	1
181753.911699998	3765.4065000097	1
185582.338099994	3742.92560000322	1
192607.75309999	2467.51370001584	1
195137.265699988	3054.02539999341	1
212176.025399996	2653.25290001056	1
214889.111899989	3670.16809999768	1
255571.579699987	3342.59520001069	1
262409.215399995	3183.00140000065	1
288910.852699992	3907.32430000207	1
305361.790499999	2652.36189999268	1
315560.486799994	3427.60430001363	1
328561.947199996	3732.18489999999	1
332357.405399991	2943.72890000523	1
339428.853799996	2930.25690001377	1
355065.211599998	2705.88509998925	1
373424.327099987	3035.74830001162	1
376521.961199993	3667.10029999376	1
392422.424499993	3390.61709999805	1
479108.428499996	2760.49580000108	1
484694.126199989	2789.79660000186	1
507321.872	3043.024899991	1
563259.53499999	3183.25849999383	1
566505.600199991	3412.22230001586	1
572975.265099987	3207.52110001922	1
608755.066599988	2956.70210001117	1
656817.716699996	2633.99689999642	1
659513.664699989	3147.0299000066	1
702944.081099995	2452.56900000095	1
705460.881899999	3088.75850000186	1
711916.497599988	3502.1530000231	1
718407.962499987	3246.66920001619	1
728369.029099995	3778.60400000645	1
742864.20679999	3530.40270000929	1
763875.724199999	3678.84209999465	1
776708.736899993	3118.8228999963	1
783095.956699995	3852.5290999969	1
787010.172599999	3362.36609998741	1
790435.864999992	3278.59170000011	1
793774.9319	3070.59950000257	1
